mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
-0.129,0.081,-0.289,-0.131,0.043,-0.134,0,-12.1026034454417,-25.0987794597331,4.39378948506126,0.9481,BEKI,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,Poisson,NA,L,9750,5593,Belted Kingfisher,Martin-pêcheur d'Amérique
0.09,0.053,-0.009,0.087,0.207,0.083,0,9.41742837052104,-0.895962122711635,22.9982571780753,0.9677,YBSA,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,M,10220,6055,Yellow-bellied Sapsucker,Pic maculé
0.188,0.054,0.077,0.188,0.296,0.189,0,20.6833515349605,8.00420763926004,34.4470156832053,0.9963,DOWO,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,10290,6179,Downy Woodpecker,Pic mineur
0.291,0.077,0.151,0.285,0.463,0.277,0,33.7764583950035,16.299665808182,58.883334241608,0.9989,DOWO,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,L,10290,6179,Downy Woodpecker,Pic mineur
-0.011,0.046,-0.103,-0.01,0.08,-0.011,0,-1.09397212246313,-9.78730265184835,8.32870676749586,0.6012,NOFL,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,10460,6390,Northern Flicker,Pic flamboyant
0.087,0.032,0.028,0.086,0.154,0.085,0,9.08966797182778,2.8395684421425,16.649088677844,0.9927,NOFL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,10460,6390,Northern Flicker,Pic flamboyant
0.015,0.077,-0.148,0.018,0.162,0.021,0,1.51130646157189,-13.7568885057954,17.5860241321,0.5999,EAWP,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,12070,8905,Eastern Wood-Pewee,Pioui de l'Est
0.052,0.096,-0.121,0.045,0.271,0.035,0,5.33757425133647,-11.3966040407124,31.1275070384588,0.7175,TRFL,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,ML,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
0.021,0.226,-0.901,0.069,0.181,0.07,0.026,2.12220516375285,-59.3836706702056,19.84151792932,0.8873,TRFL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,12150,8933,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules
0.185,0.066,0.049,0.186,0.323,0.187,0,20.3218440127695,5.02203507400281,38.126535090563,0.9903,LEFL,2008-2018,all years,Fall,CMMN,TTPBRS,TTPBRS,Poisson,NA,M,12190,8935,Least Flycatcher,Moucherolle tchébec
0.006,0.046,-0.085,0.005,0.103,0.004,0,0.601803605406492,-8.14877155985426,10.8491409076007,0.55,LEFL,2008-2018,all years,Spring,CMMN,TTPBRS,TTPBRS,NegBinomial,NA,M,12190,8935,Least Flycatcher,Moucherolle tchébec
